CustomerID,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,OverageMinutes,RoamingCalls,PercChangeMinutes,PercChangeRevenues,DroppedCalls,BlockedCalls,UnansweredCalls,CustomerCareCalls,ThreewayCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,OffPeakCallsInOut,DroppedBlockedCalls,CallForwardingCalls,CallWaitingCalls,MonthsInService,UniqueSubs,ActiveSubs,ServiceArea,Handsets,HandsetModels,CurrentEquipmentDays,AgeHH1,AgeHH2,ChildrenInHH,HandsetRefurbished,HandsetWebCapable,TruckOwner,RVOwner,Homeownership,BuysViaMailOrder,RespondsToMailOffers,OptOutMailings,NonUSTravel,OwnsComputer,HasCreditCard,RetentionCalls,RetentionOffersAccepted,NewCellphoneUser,NotNewCellphoneUser,ReferralsMadeBySubscriber,IncomeGroup,OwnsMotorcycle,AdjustmentsToCreditRating,MadeCallToRetentionTeam,CreditRating,PrizmCode,Occupation,MaritalStatus,Churn
3000002,24,219,22,0.25,0,0,-157,-19,0.7,0.7,6.3,0,0,97.2,0,0,58,24,1.3,0,0.3,61,2,1,SEAPOR503,2,2,361,62,0,No,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,1,0,No,No,0,4,No,0,Yes,1-Highest,Suburban,Professional,No,Yes
3000010,16.99,10,17,0,0,0,-4,0,0.3,0,2.7,0,0,0,0,0,5,1,0.3,0,0,58,1,1,PITHOM412,2,1,1504,40,42,Yes,No,No,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,Yes,No,0,5,No,0,No,4-Medium,Suburban,Professional,Yes,Yes
3000014,38,8,38,0,0,0,-2,0,0,0,0,0,0,0.4,0.3,0,1.3,3.7,0,0,0,60,1,1,MILMIL414,1,1,1812,26,26,Yes,No,No,No,No,Unknown,No,No,No,No,No,Yes,0,0,Yes,No,0,6,No,0,No,3-Good,Town,Crafts,Yes,No
3000022,82.28,1312,75,1.24,0,0,157,8.1,52,7.7,76,4.3,1.3,200.3,370.3,147,555.7,303.7,59.7,0,22.7,59,2,2,PITHOM412,9,4,458,30,0,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,6,No,0,No,4-Medium,Other,Other,No,No
3000026,17.14,0,17,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,2,OKCTUL918,4,3,852,46,54,No,No,No,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,Yes,0,9,No,1,No,1-Highest,Other,Professional,Yes,Yes
3000030,38.05,682,52,0.25,0,0,148,-3.1,9,1.7,13,0.7,0,42.2,6.7,0,33.3,53,10.7,0,0.7,53,1,1,OKCTUL918,3,2,231,28,0,No,No,Yes,No,No,Known,No,No,No,Yes,No,Yes,0,0,Yes,No,0,1,No,1,No,3-Good,Other,Other,Yes,No
3000038,31.66,26,30,0.25,0,0,60,4,0,1,2.3,0,0,0,0,0,1.7,1.7,1,0,0,57,2,2,OKCTUL918,2,2,601,52,58,No,No,Yes,No,No,Known,Yes,Yes,No,Yes,No,Yes,0,0,No,Yes,0,9,No,1,No,1-Highest,Other,Self,Yes,No
3000042,62.13,98,66,2.48,0,0,24,6.8,0,0.3,4,4,0,0,3.7,0,7.7,7.3,0.3,0,0,59,2,2,OKCOKC405,3,3,464,46,46,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,6,No,0,No,1-Highest,Other,Professional,No,No
3000046,35.3,24,35,0,0,0,20,-0.3,0,0,1,0,0,2.4,4,1.7,9.3,1.7,0,0,0,53,3,3,SANMCA210,4,3,544,36,34,Yes,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,9,No,0,No,1-Highest,Other,Other,Yes,No
3000050,81,1056,75,0,0,0,43,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,1,PITHOM412,9,5,388,46,68,No,No,Yes,No,No,Known,No,No,No,No,Yes,Yes,0,0,Yes,No,0,5,No,1,No,3-Good,Other,Professional,No,No
3000054,25.23,2,25,0,0,0,-2,-0.2,0,0,0.3,0,0,1.1,0.3,0,0.7,0.7,0,0,0,53,2,2,SANMCA210,2,2,354,0,0,No,No,Yes,Yes,No,Unknown,No,No,No,No,No,No,0,0,Yes,No,0,7,No,0,No,1-Highest,Other,Other,Unknown,No
3000058,212.51,1972,85,2.23,250,35.5,-200,-106.8,9,0,43.7,0.3,0,718.1,49.3,4.7,351.7,128.7,9,0,1,59,5,1,SLCSLC801,10,6,199,30,22,Yes,No,Yes,No,No,Known,No,Yes,No,No,Yes,Yes,0,0,Yes,No,0,3,No,1,No,4-Medium,Suburban,Other,No,No
3000062,42.56,270,37,0.25,6,0,202,-1.8,3.3,1.7,7.7,1,0,57.1,11,3.7,62.3,18,5,0,0.3,55,2,2,OKCOKC405,5,4,697,58,58,Yes,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,1,No,1,No,3-Good,Suburban,Other,Unknown,No
3000066,63.02,440,60,0,6,1.3,-16,0.2,5,0,17.3,3.7,0.3,93.9,0,0,141.3,14.3,5,0,1.7,57,1,1,SLCSLC801,3,2,530,99,0,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,Yes,0,3,No,0,No,3-Good,Town,Other,Unknown,No
3000078,50.97,162,70,0,2,0,-58,-1,1.7,0.3,9,0.3,0,38.4,34.3,5.7,19.3,42.3,2,0,0,56,1,1,MILMIL414,4,3,253,30,30,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,No,0,0,Yes,No,0,1,No,0,No,3-Good,Other,Other,No,No
3000082,172.44,1978,100,0,362,0,-1007,-72.5,7.3,18,114.3,0.3,0.7,515.2,22.7,2.7,718,60.3,25.3,0,20.3,58,2,1,LOULOU502,4,3,143,48,32,No,No,Yes,Yes,Yes,Known,Yes,Yes,No,No,No,Yes,1,0,No,No,0,6,No,0,Yes,1-Highest,Other,Professional,Unknown,Yes
3000102,29.99,47,30,0,0,0,14,0,0.3,0,2.3,0,0,1,10,1.7,22,3.3,0.3,0,0,54,3,3,SLCSLC801,3,3,573,52,50,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,9,No,0,No,1-Highest,Other,Other,Unknown,No
3000118,30.26,34,30,0,0,0,32,-0.3,0,0,0.7,0,0,0.5,0.3,0,14.3,0,0,0,0,52,1,1,SANMCA210,2,2,319,0,0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,Yes,No,0,0,No,0,No,3-Good,Other,Other,Unknown,No
3000122,24.49,42,17,0,10,0,81,29.9,0,0,0,0,0,0,0,0,3,0.7,0,0,0,58,2,1,KCYKCK913,3,3,776,36,0,No,No,Yes,No,No,Known,No,No,No,No,No,No,0,0,No,Yes,0,9,No,0,No,1-Highest,Other,Other,No,Yes
3000126,30,94,30,0,0,0,-54,0,2,1.7,5.3,0,0,19.5,1,0,26.3,19.3,3.7,0,0,54,1,1,SANMCA210,2,2,1395,42,40,No,Yes,No,Yes,Yes,Known,No,No,No,No,Yes,Yes,0,0,Yes,No,0,3,No,0,No,4-Medium,Rural,Other,Unknown,No
3000130,35.55,139,35,0.25,0,0,-11,-0.6,0,0.7,3.3,0,0,72.5,3.7,0.3,27.3,15.3,0.7,0,0.3,52,1,1,OKCOKC405,4,3,628,40,0,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,Yes,0,5,No,0,No,1-Highest,Suburban,Professional,Yes,No
